Referencia,biblioteca_walk,biblioteca_bike,biblioteca_car,biblioteca_pt,centros_salud_walk,centros_salud_bike,centros_salud_car,centros_salud_pt,farmacia_walk,farmacia_bike,farmacia_car,farmacia_pt,hospital_walk,hospital_bike,hospital_car,hospital_pt
8594095,16,7,4,13,15,7,5,11,17,8,4,12,39,19,7,29
8594099,16,7,4,13,15,7,5,11,17,8,4,12,39,19,7,29
8594100,16,7,4,13,15,7,5,11,17,8,4,12,39,19,7,29
8796114,4,2,1,4,5,3,2,5,6,3,1,6,74,36,12,23
8796136,4,2,1,4,5,3,2,5,5,2,4,4,74,36,12,23
8296097,14,7,2,10,3,2,1,3,1,1,1,2,44,21,6,16
8796227,5,2,7,4,0,0,7,0,4,2,6,3,87,42,14,23
8796236,6,3,7,5,4,2,6,3,3,1,6,3,85,41,14,23
8796224,5,3,7,5,3,2,6,3,2,1,6,3,86,41,14,23
8597282,10,5,6,4,14,7,3,6,9,4,3,6,71,34,11,26
8597132,14,7,2,9,12,6,3,8,2,1,1,2,77,37,9,23
8795013,32,15,3,23,28,14,3,22,22,10,4,18,77,37,11,39
8596221,15,7,3,10,14,6,4,9,7,3,3,6,75,36,11,25
7991266,12,6,2,10,12,6,3,11,9,4,1,8,97,47,13,25
7991268,12,6,2,10,12,6,3,11,9,4,1,8,97,47,13,25
8394135,37,18,5,12,44,21,6,15,34,16,6,13,13,6,4,7
8397729,4,2,1,2,8,4,2,4,4,2,2,1,55,27,9,26
7989090,35,17,12,12,31,15,11,10,21,10,10,8,116,56,16,27
7991269,10,5,2,9,11,5,3,10,8,4,1,7,96,46,13,25
7991270,10,5,2,7,11,5,3,8,8,4,1,5,96,46,13,22
8397369,12,6,3,8,8,4,1,2,1,0,1,1,61,29,8,25
8398006,5,2,2,5,5,2,2,6,6,3,2,5,70,34,9,30
8093048,37,18,6,17,37,18,6,16,43,21,7,15,74,35,11,21
8294057,16,8,4,8,10,5,2,5,14,7,3,8,34,16,6,18
8397416,5,2,1,4,5,2,1,4,0,0,1,0,61,29,8,27
8294025,13,6,4,8,12,6,2,5,11,5,3,9,32,15,6,16
8294137,13,6,5,9,20,10,4,9,6,3,1,5,46,22,8,20
8294134,14,7,6,10,17,8,4,8,6,3,1,5,43,21,8,22
8397307,4,2,1,4,4,2,1,5,1,1,1,2,62,30,8,28
8497324,31,15,10,24,40,19,8,27,28,14,6,22,86,41,16,37
8397120,7,3,4,7,8,4,2,5,1,0,1,1,58,28,9,25
8397166,8,4,4,8,9,4,2,6,1,1,1,1,60,29,9,25
8397088,6,3,1,6,10,5,3,5,1,1,1,1,57,27,7,24
8397708,2,1,1,2,2,1,1,4,3,1,1,2,67,32,8,28
8397089,6,3,1,6,10,5,3,5,1,1,1,1,57,27,7,25
8397137,6,3,4,6,10,5,2,5,1,1,1,1,57,27,9,24
8395196,9,4,6,8,8,4,4,7,8,4,2,7,39,19,6,19
8394047,37,18,5,12,44,21,6,15,34,16,6,13,13,6,4,17
8394053,11,5,5,6,16,8,3,8,7,3,5,6,24,11,7,14
8395179,2,1,1,1,13,6,2,6,2,1,1,2,26,13,4,13
8596171,10,5,1,5,21,10,4,10,9,4,1,6,67,32,8,25
7891057,20,9,3,5,20,10,4,6,17,8,2,3,106,51,14,21
