Referencia,biblioteca_walk,biblioteca_bike,biblioteca_car,biblioteca_pt,centros_salud_walk,centros_salud_bike,centros_salud_car,centros_salud_pt,farmacia_walk,farmacia_bike,farmacia_car,farmacia_pt,hospital_walk,hospital_bike,hospital_car,hospital_pt
8594095,16,7,4,14,15,7,5,14,17,8,4,15,39,19,7,31
8594099,16,7,4,14,15,7,5,14,17,8,4,15,39,19,7,31
8594100,16,7,4,14,15,7,5,14,17,8,4,15,39,19,7,31
8796114,4,2,1,4,5,3,2,5,6,3,1,6,74,36,12,26
8796136,4,2,1,4,5,3,2,5,5,2,4,7,74,36,12,26
8296097,14,7,2,13,3,2,1,3,1,1,1,31,44,21,6,17
8796227,5,2,7,4,0,0,7,0,4,2,6,3,87,42,14,33
8796236,6,3,7,6,4,2,6,4,3,1,6,3,85,41,14,33
8796224,5,3,7,6,3,2,6,4,2,1,6,3,86,41,14,33
8597282,10,5,6,9,14,7,3,15,9,4,3,8,71,34,11,30
8597132,14,7,2,16,12,6,3,14,2,1,1,2,77,37,9,25
8795013,32,15,3,29,28,14,3,26,22,10,4,20,77,37,11,48
8596221,15,7,3,16,14,6,4,15,7,3,3,6,75,36,11,26
7991266,12,6,2,11,12,6,3,11,9,4,1,8,97,47,13,46
7991268,12,6,2,11,12,6,3,11,9,4,1,8,97,47,13,46
8394135,37,18,5,34,44,21,6,24,34,16,6,18,13,6,4,11
8397729,4,2,1,3,8,4,2,8,4,2,2,3,55,27,9,30
7989090,35,17,12,31,31,15,11,27,21,10,10,19,116,56,16,51
7991269,10,5,2,9,11,5,3,10,8,4,1,7,96,46,13,45
7991270,10,5,2,7,11,5,3,8,8,4,1,5,96,46,13,43
8397369,12,6,3,11,8,4,1,19,1,0,1,1,61,29,8,24
8398006,5,2,2,5,5,2,2,21,6,3,2,5,70,34,9,30
8093048,37,18,6,26,37,18,6,28,43,21,7,20,74,35,11,42
8294057,16,8,4,27,10,5,2,9,14,7,3,13,34,16,6,18
8397416,5,2,1,4,5,2,1,20,0,0,1,15,61,29,8,27
8294025,13,6,4,25,12,6,2,11,11,5,3,10,32,15,6,16
8294137,13,6,5,12,20,10,4,18,6,3,1,5,46,22,8,29
8294134,14,7,6,12,17,8,4,15,6,3,1,6,43,21,8,26
8397307,4,2,1,4,4,2,1,20,1,1,1,17,62,30,8,29
8497324,31,15,10,29,40,19,8,37,28,14,6,26,86,41,16,44
8397120,7,3,4,7,8,4,2,20,1,0,1,1,58,28,9,28
8397166,8,4,4,8,9,4,2,21,1,1,1,1,60,29,9,29
8397088,6,3,1,6,10,5,3,21,1,1,1,1,57,27,7,27
8397708,2,1,1,2,2,1,1,19,3,1,1,2,67,32,8,27
8397089,6,3,1,6,10,5,3,21,1,1,1,1,57,27,7,27
8397137,6,3,4,6,10,5,2,21,1,1,1,1,57,27,9,27
8395196,9,4,6,8,8,4,4,7,8,4,2,11,39,19,6,19
8394047,37,18,5,34,44,21,6,24,34,16,6,18,13,6,4,11
8394053,11,5,5,23,16,8,3,14,7,3,5,6,24,11,7,14
8395179,2,1,1,16,13,6,2,11,2,1,1,2,26,13,4,12
8596171,10,5,1,21,21,10,4,24,9,4,1,8,67,32,8,31
7891057,20,9,3,18,20,10,4,18,17,8,2,16,106,51,14,54
8397596,4,2,1,3,3,2,1,18,4,2,1,3,69,33,9,28
8092045,32,16,5,29,35,17,6,32,30,15,6,28,82,39,11,49
8397604,7,3,2,7,7,3,2,22,8,4,3,8,68,33,10,33
8092049,32,16,5,29,35,17,6,32,30,15,6,28,82,39,11,49
8397589,6,3,2,6,6,3,2,22,7,3,3,7,68,33,10,33
8397585,6,3,2,5,6,3,2,20,7,3,3,6,67,32,9,31
8397536,6,3,2,6,15,7,1,26,11,6,1,10,58,28,8,32
8397560,7,3,2,6,11,5,2,10,6,3,2,6,58,28,8,30
8397395,7,3,2,6,7,3,2,21,8,4,3,7,69,33,9,32
8397509,6,3,1,6,11,5,3,10,4,2,1,5,58,28,7,30
8397532,6,3,1,6,11,5,3,10,4,2,1,4,58,28,7,30
8397188,3,2,1,3,3,1,1,19,4,2,1,3,68,33,9,28
8596158,7,3,1,6,15,7,4,11,7,4,1,7,56,27,12,28
8397527,5,2,1,4,11,5,3,10,3,1,1,3,56,27,7,25
8396129,14,7,7,12,18,9,4,16,1,1,1,1,37,18,5,21
8396120,16,7,7,14,16,8,4,15,3,2,2,3,38,18,6,23
8398011,9,4,2,8,9,4,2,24,10,5,2,9,74,36,10,34
8398001,9,4,2,8,9,4,2,24,10,5,2,9,74,36,10,34
8398007,7,3,2,6,7,3,2,21,7,3,2,6,72,34,10,31
8398016,10,5,1,9,10,5,1,24,10,5,1,10,75,36,9,34
8392005,29,14,9,34,30,14,9,27,22,11,9,20,48,23,8,36
8394133,32,16,4,30,39,19,5,20,29,14,5,14,9,4,3,7
8396242,5,3,1,5,8,4,2,8,5,3,2,5,55,27,9,33
8396227,4,2,1,3,7,4,2,7,4,2,2,3,54,26,9,33
8395075,12,6,3,27,13,6,3,20,8,4,3,7,29,14,6,19
8397474,4,2,1,4,4,2,1,23,2,1,1,2,62,30,9,28
8397433,6,3,1,5,10,5,2,9,8,4,3,8,57,28,9,31
8496024,11,5,5,10,6,3,5,7,8,4,4,6,62,30,12,31
8496066,12,6,5,11,5,2,5,6,8,4,4,7,61,29,12,30
8396337,4,2,2,4,15,7,4,12,6,3,2,5,33,16,6,17
8397459,4,2,1,4,9,4,2,8,4,2,2,4,56,27,9,30
8396392,2,1,0,1,6,3,1,6,2,1,1,2,53,26,9,31
8396430,2,1,0,2,7,3,1,6,2,1,1,2,54,26,9,31
8396429,2,1,1,2,7,4,1,7,3,1,2,3,54,26,9,30
8396428,2,1,1,2,7,4,1,7,3,1,2,2,54,26,9,31
8396427,3,1,1,3,8,4,2,7,3,1,2,3,55,26,9,30
8394095,28,13,4,27,32,16,5,32,25,12,5,11,6,3,3,3
8397545,3,2,1,4,8,4,2,8,3,2,2,4,55,27,9,30
8394098,25,12,4,26,30,15,5,31,22,11,5,10,5,2,3,1
8396114,2,1,1,1,7,3,2,6,2,1,2,2,54,26,9,31
8394099,24,12,3,27,29,14,5,32,21,10,3,11,4,2,2,2
8396424,2,1,1,2,7,3,2,6,2,1,2,2,54,26,9,31
8396244,3,1,1,3,8,4,2,8,3,1,2,3,54,26,9,28
8397544,4,2,2,4,9,4,2,8,4,2,2,4,56,27,9,30
8394093,18,9,5,30,24,12,6,22,15,7,6,13,21,10,4,16
8496046,22,11,4,17,12,6,3,9,9,4,3,7,55,27,10,35
8496058,18,9,3,16,11,5,3,9,8,4,3,8,54,26,9,25
8496013,8,4,5,7,7,3,3,8,4,2,3,3,63,30,11,32
8796220,13,6,2,11,9,4,2,8,11,5,2,10,82,40,12,39
8397694,13,6,4,12,18,8,5,17,13,6,5,13,65,31,9,32
8497026,11,5,5,10,17,8,5,16,4,2,1,3,68,33,10,33
8397671,14,7,4,12,15,7,4,29,9,4,5,8,65,31,9,32
8397660,8,4,2,7,17,8,4,28,14,7,4,13,60,29,9,34
8494017,26,12,5,23,27,13,7,25,27,13,5,25,8,4,2,6
