Erreferentz,color_1_walk,color_1_bike
8594095,2,4
8594099,6,24
8594100,3,4
8796114,4,6
8796136,14,23
8296097,3,17
8796227,19,13
8796236,3,0
8796224,9,4
8597282,13,12
8597132,1,14
8795013,0,7
8596221,12,17
7991266,20,7
7991268,16,1
8394135,4,2
8397729,7,8
7989090,0,9
7991269,21,6
7991270,22,13
8397369,14,7
8398006,18,11
8093048,15,6
8294057,7,1
8397416,6,9
8294025,16,23
8294137,10,1
8294134,23,11
8397307,19,24
8497324,23,18
8397120,5,19
8397166,10,10
8397088,8,17
8397708,19,0
8397089,20,1
8397137,11,5
8395196,20,12
8394047,11,8
8394053,19,20
8395179,12,22
8596171,4,20
7891057,4,8
8397596,21,3
8092045,10,4
8397604,22,18
8092049,4,4
8397589,11,4
8397585,18,8
8397536,14,3
8397560,6,12
8397395,19,20
8397509,12,12
8397532,3,13
8397188,1,3
8596158,6,6
8397527,7,0
8396129,24,1
8396120,14,19
8398011,10,21
8398001,8,7
8398007,11,19
8398016,9,2
8392005,24,8
8394133,4,8
8396242,1,18
8396227,11,17
8395075,13,21
8397474,7,0
8397433,3,7
8496024,6,5
8496066,11,19
8396337,14,24
8397459,6,21
8396392,23,7
8396430,22,11
8396429,3,18
8396428,24,8
8396427,5,23
8394095,13,12
8397545,14,24
8394098,20,15
8396114,3,4
8394099,6,21
8396424,2,14
8396244,1,20
8397544,8,0
8394093,14,19
8496046,9,4
8496058,20,16
8496013,8,22
8796220,24,24
8397694,18,10
8497026,16,6
8397671,5,12
8397660,6,8
8494017,1,22
8494036,23,19
8795003,18,6
8795002,1,24
8397471,20,23
8497289,13,16
8796211,8,10
8497288,10,14
8796201,15,1
8495077,21,21
8497294,7,3
8497296,19,23
8497283,8,12
8497270,3,7
8496176,3,2
8497265,9,10
8496179,16,9
8496038,4,1
8496041,24,6
8397021,21,0
8497188,9,0
8696114,22,18
8095169,20,10
8195272,4,14
8497274,20,8
8797335,21,1
8797329,24,14
8797334,23,3
8797332,20,6
8797324,11,17
8495044,19,10
8797310,4,5
8496153,11,6
8496164,12,19
8496172,20,0
8496163,11,5
8497202,8,8
8496155,9,19
8498002,17,11
8496166,16,22
8497204,7,2
8496167,21,16
8496168,9,18
8498008,4,0
8498005,10,18
8498006,10,5
8696129,15,1
8696128,20,22
8398013,9,18
8398014,16,4
8397001,13,17
8596020,2,24
8597091,8,4
8597093,11,10
8696126,24,15
8594061,1,7
8696270,10,2
8194122,6,6
8496204,15,18
8094101,6,18
8196026,19,6
8293048,22,23
8294140,7,9
8094062,18,18
8797276,7,19
8094022,23,17
8094028,5,9
8094032,12,19
8094009,11,23
8797318,15,0
8094010,18,10
8990006,2,9
8990005,24,17
8094018,12,24
8094066,12,23
8094046,19,15
8497336,21,22
8497348,21,7
8094016,6,5
8094035,9,23
8094064,2,13
8093020,5,15
8395230,9,19
8092026,17,20
8093010,0,4
8092035,0,13
7995088,16,20
8093005,7,11
7995085,1,0
8796264,17,1
8093021,20,2
8093015,1,15
8497347,5,15
7996034,23,22
8093008,17,12
7996035,12,17
8496205,20,10
7996045,13,8
8696162,18,8
8094073,21,1
8696163,11,14
7994009,11,2
8796296,13,0
8797269,3,15
8797272,18,13
8796289,4,5
8797325,18,11
8696138,11,7
8696137,15,23
8696136,14,3
8796299,22,10
8696134,5,18
8696144,3,2
8896382,1,6
8095075,10,0
8795018,17,0
8795019,17,11
8795020,10,16
8796162,2,16
8796147,18,7
8796274,15,5
8093017,12,10
8193027,17,23
8094044,13,11
8095085,9,15
8195171,19,13
8195162,7,4
8796283,14,1
8195133,1,10
8797300,9,12
8797289,21,13
8196007,8,11
8797293,6,2
8195140,4,11
8196246,24,5
8196128,0,12
8196220,12,11
7995025,4,11
8092034,7,4
8193009,15,23
8296659,9,18
8296645,8,22
8193030,5,16
8296655,16,13
7991006,24,1
8194097,2,9
8092021,23,12
8194056,13,8
8297077,10,24
8193052,22,24
8193050,4,7
8195232,8,20
8195200,12,0
8297101,11,12
8295054,21,9
8295155,13,13
8296705,17,2
8294117,20,0
8294028,16,4
8597019,9,22
8597134,9,16
8497301,20,19
8696269,6,5
8696281,16,14
8297455,4,11
8597247,6,2
8597211,12,21
8597210,19,24
8597199,16,19
8496214,14,4
8297253,1,16
8095155,22,23
8297265,7,22
8494101,18,17
7891035,15,13
7891032,13,13
8492093,12,11
8394108,19,9
8394109,18,2
8394110,21,5
8394111,21,24
8394083,1,10
8394104,0,1
8494118,16,11
8598001,7,8
8593100,23,5
8594023,18,12
8594057,22,20
8393023,2,20
8393046,15,2
7891049,6,18
7891048,9,1
8596045,1,10
8597239,24,19
8697544,0,11
7891063,9,23
8697549,12,8
7891041,9,3
8496209,20,7
8697518,19,1
8697519,13,8
8596039,12,23
8596054,8,24
8696217,7,14
8696212,8,2
8696211,9,14
8696246,18,17
8597273,20,14
8697420,6,8
8597277,6,7
8596126,17,19
8597259,15,14
8697503,15,7
8697504,21,11
8697505,15,19
8697506,7,16
8596006,10,22
8696181,23,15
8596005,12,8
8596047,8,14
8596060,12,22
8696171,14,15
8696170,14,8
8696167,19,7
8696176,23,10
8596169,20,11
8696199,7,3
8696186,22,14
8696307,13,9
8596090,16,15
8596094,6,15
8696295,10,3
8596103,24,9
8596097,21,3
8596070,4,17
8596071,13,1
8497310,4,22
8697501,19,9
8596105,9,3
8596133,2,12
8596134,21,13
8596201,22,6
8596203,13,0
8596196,20,17
8596204,16,10
8597017,22,9
8597012,3,2
8597011,16,20
8597066,4,16
8497319,9,22
8596027,0,7
8596012,6,17
8597137,19,12
8597124,13,5
8596019,0,17
8596164,20,0
8597044,18,0
8597046,22,14
8597056,6,24
8596024,23,21
8597055,1,24
8597113,19,11
8696051,13,22
8696049,17,5
8696048,3,24
8696047,6,7
8696046,1,5
8696045,23,5
8696044,10,14
8696043,12,16
8696071,10,12
8596053,14,10
8697466,15,4
8696073,11,6
8696060,15,21
8695010,21,8
8697438,16,16
8696077,0,2
8696076,12,10
8696062,5,13
8696072,17,12
8696082,14,13
8295142,15,10
8696018,14,9
8696017,16,24
8295150,18,8
8696015,19,4
8696010,11,17
8696020,15,1
8696008,12,20
8696007,13,3
8696003,17,16
8696002,9,14
