2025-02-18 15:27:21,537 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:21,614 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:21,655 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:21,724 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:21,764 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:21,835 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:21,906 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:21,964 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,024 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,094 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,180 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,240 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,304 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,383 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,464 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,524 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,614 INFO urbanaccess Successfully read store: data/transit_1617.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,694 INFO urbanaccess Successfully read store: data/transit_1617.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,876 INFO urbanaccess Successfully read store: data/transit_1718.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:22,973 INFO urbanaccess Successfully read store: data/transit_1718.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:23,656 INFO urbanaccess Successfully read store: data/transit_1819.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:23,827 INFO urbanaccess Successfully read store: data/transit_1819.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:24,226 INFO urbanaccess Successfully read store: data/transit_1920.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:27:24,410 INFO urbanaccess Successfully read store: data/transit_1920.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,190 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,274 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,356 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,435 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,516 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,587 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,654 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,739 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,817 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,885 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:34,954 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,021 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,080 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,134 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,184 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,250 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,314 INFO urbanaccess Successfully read store: data/transit_1617.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,374 INFO urbanaccess Successfully read store: data/transit_1617.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,444 INFO urbanaccess Successfully read store: data/transit_1718.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,554 INFO urbanaccess Successfully read store: data/transit_1718.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,674 INFO urbanaccess Successfully read store: data/transit_1819.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,757 INFO urbanaccess Successfully read store: data/transit_1819.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,864 INFO urbanaccess Successfully read store: data/transit_1920.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:29:35,929 INFO urbanaccess Successfully read store: data/transit_1920.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,449 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,509 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,554 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,615 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,689 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,734 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,774 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,814 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,860 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:02,912 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,005 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,084 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,174 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,228 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,314 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,372 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,474 INFO urbanaccess Successfully read store: data/transit_1617.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,524 INFO urbanaccess Successfully read store: data/transit_1617.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,629 INFO urbanaccess Successfully read store: data/transit_1718.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,684 INFO urbanaccess Successfully read store: data/transit_1718.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,795 INFO urbanaccess Successfully read store: data/transit_1819.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,847 INFO urbanaccess Successfully read store: data/transit_1819.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:03,966 INFO urbanaccess Successfully read store: data/transit_1920.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:30:04,021 INFO urbanaccess Successfully read store: data/transit_1920.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:08,636 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:08,778 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:08,824 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:08,880 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:08,924 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:08,997 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,054 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,111 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,164 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,225 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,296 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,377 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,481 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,562 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,664 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,749 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,864 INFO urbanaccess Successfully read store: data/transit_1617.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:09,944 INFO urbanaccess Successfully read store: data/transit_1617.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:10,040 INFO urbanaccess Successfully read store: data/transit_1718.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:10,092 INFO urbanaccess Successfully read store: data/transit_1718.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:10,184 INFO urbanaccess Successfully read store: data/transit_1819.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:10,254 INFO urbanaccess Successfully read store: data/transit_1819.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:10,397 INFO urbanaccess Successfully read store: data/transit_1920.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:32:10,469 INFO urbanaccess Successfully read store: data/transit_1920.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:38,886 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:39,022 INFO urbanaccess Successfully read store: data/transit_0809.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:39,112 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:39,207 INFO urbanaccess Successfully read store: data/transit_0910.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:39,312 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:39,410 INFO urbanaccess Successfully read store: data/transit_1011.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:39,539 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:39,659 INFO urbanaccess Successfully read store: data/transit_1112.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:39,824 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:39,957 INFO urbanaccess Successfully read store: data/transit_1213.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:40,307 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:40,404 INFO urbanaccess Successfully read store: data/transit_1314.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:40,667 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:40,784 INFO urbanaccess Successfully read store: data/transit_1415.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:41,084 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
2025-02-18 15:35:41,655 INFO urbanaccess Successfully read store: data/transit_1516.h5 with the following keys: ['/edges', '/impedance_names', '/nodes', '/two_way']
